Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
4,0.58,-79.84,5,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
19,0.41,-79.92,13.3,4.8," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
21,0.46,-79.95,4.5,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
59,0.7,-79.73,8.8,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
63,0.82,-79.82,10,3.7," Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
66,0.54,-80.04,7,4.8," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
67,0.4,-79.93,2.8,4.6," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
68,0.49,-79.98,4.9,4.5," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
69,0.51,-79.96,5.4,4.3," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
70,0.4,-79.87,13.4,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
71,0.46,-79.8,8.8,3.8," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
72,0.39,-79.88,9.5,4.9," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
73,0.33,-79.85,9.5,3.9," Pedernales,Manabi",Esmeraldas,3.0 - 3.9,0,
75,0.64,-80.04,5.1,3.6," Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
76,0.45,-79.81,14.2,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
77,0.64,-80.09,2.2,4.1," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
78,0.64,-80.16,5.4,4.8," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
79,0.61,-80.11,7.5,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
81,0.63,-80.18,10,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
