"Mag","Depth","Latitude","Longitude","CloserCity","Region","categoryMag","categoryDepth","cluster"
"4",3.9,5,0.58,-79.84," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"19",4.8,13.3,0.41,-79.92," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"21",3.5,4.5,0.46,-79.95," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"59",3.6,8.8,0.7,-79.73," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"63",3.7,10,0.82,-79.82," Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"66",4.8,7,0.54,-80.04," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"67",4.6,2.8,0.4,-79.93," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"68",4.5,4.9,0.49,-79.98," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"69",4.3,5.4,0.51,-79.96," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"70",3.9,13.4,0.4,-79.87," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"71",3.8,8.8,0.46,-79.8," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"72",4.9,9.5,0.39,-79.88," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"73",3.9,9.5,0.33,-79.85," Pedernales,Manabi","Esmeraldas","3.0 - 3.9","< 60",1
"75",3.6,5.1,0.64,-80.04," Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"76",3.5,14.2,0.45,-79.81," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"77",4.1,2.2,0.64,-80.09," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"78",4.8,5.4,0.64,-80.16," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"79",3.6,7.5,0.61,-80.11," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"81",3.7,10,0.63,-80.18," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"82",3.7,7.2,0.29,-80," Pedernales,Manabi","Manabi","3.0 - 3.9","< 60",1
"83",3.5,6.9,0.68,-80.16," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"84",5.2,13.3,0.44,-79.83," Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"90",3.6,10.1,0.48,-79.94," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"92",3,5,0.71,-80.07," Muisne,Esmeraldas","Esmeraldas","1.0 - 3.0","< 60",1
"102",4.7,9.3,0.52,-79.9," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"115",3.2,5.2,0.95,-79.55," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"122",4.4,10,0.63,-80.21," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"124",3.3,10,0.7,-79.32," Quininde,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"126",3.5,18.1,0.58,-79.77," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
