Mag,Lat,Long,Depth,Region,Status,CloserCity
4.2,0.29° S,81.02° W,10,Off Coast of Ecuador,M,"75.38km Bahia de Caraquez,Manabi"
4,1.62° S,81.08° W,10,Off Coast of Ecuador,M,"31.50km Puerto Lopez,Manabi"
4.2,0.90° S,84.41° W,10,Off Coast of Ecuador,M,"407.48km Puerto Lopez,Manabi"
3.9,0.58° N,79.84° W,5,Near Coast of Ecuador,M,"20.40km Muisne,Esmeraldas"
4.2,1.28° S,81.22° W,5,Off Coast of Ecuador,M,"55.34km Puerto Lopez,Manabi"
3.5,2.96° S,80.03° W,50.4,Near Coast of Ecuador,M,"34.18km Machala,El Oro"
3.7,0.12° S,80.37° W,7.3,Near Coast of Ecuador,M,"14.95km Jama,Manabi"
3.6,0.21° S,80.55° W,10,Near Coast of Ecuador,M,"31.88km Jama,Manabi"
3.7,0.07° S,80.74° W,10,Near Coast of Ecuador,M,"55.00km Jama,Manabi"
4.2,0.10° S,80.73° W,2.7,Near Coast of Ecuador,M,"53.12km Jama,Manabi"
3.8,0.09° S,80.71° W,3.2,Near Coast of Ecuador,M,"51.21km Jama,Manabi"
4.1,0.13° S,80.79° W,10,Near Coast of Ecuador,M,"59.11km Jama,Manabi"
3.1,0.19° S,80.36° W,12,Near Coast of Ecuador,M,"10.82km Jama,Manabi"
3.6,0.67° S,77.75° W,1.4,Ecuador - Napo,M,"36.98km Tena,Napo"
3.6,1.52° S,80.91° W,5,Near Coast of Ecuador,M,"12.32km Puerto Lopez,Manabi"
3.6,4.55° S,77.76° W,100,Northern Peru,M,"137.04km Yantzaza,Zamora Chinchipe"
3.8,1.58° S,80.90° W,5,Near Coast of Ecuador,M,"11.00km Puerto Lopez,Manabi"
3.7,1.57° S,80.98° W,5,Near Coast of Ecuador,M,"19.59km Puerto Lopez,Manabi"
4.8,0.41° N,79.92° W,13.3,Near Coast of Ecuador,M,"25.06km Muisne,Esmeraldas"
3.8,1.42° S,81.28° W,10,Off Coast of Ecuador,M,"54.92km Puerto Lopez,Manabi"
3.5,0.46° N,79.95° W,4.5,Near Coast of Ecuador,M,"18.61km Muisne,Esmeraldas"
4.7,2.87° S,85.29° W,10,Off Coast of Ecuador,M,"486.66km Salinas,Santa Elena"
3.6,2.07° S,77.36° W,10,Ecuador - Pastaza,M,"87.97km Macas,Morona Santiago"
3.5,1.28° S,81.04° W,10,Off Coast of Ecuador,M,"40.17km Puerto Lopez,Manabi"
4.7,1.55° S,80.96° W,5,Near Coast of Ecuador,M,"17.29km Puerto Lopez,Manabi"
