"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"4.2,01-05-2016 4:59,0.29? S,81.02? W,10,Off Coast of Ecuador,M,""75.38km Bahia de Caraquez,Manabi"",01-05-2016 9:59,01-05-2016 10:29"
"4,01-05-2016 6:22,1.62? S,81.08? W,10,Off Coast of Ecuador,M,""31.50km Puerto Lopez,Manabi"",01-05-2016 11:22,01-05-2016 11:31"
"4.2,01-05-2016 11:00,0.90? S,84.41? W,10,Off Coast of Ecuador,M,""407.48km Puerto Lopez,Manabi"",01-05-2016 16:00,01-05-2016 16:11"
"3.9,01-05-2016 11:36,0.58? N,79.84? W,5,Near Coast of Ecuador,M,""20.40km Muisne,Esmeraldas"",01-05-2016 16:36,01-05-2016 16:42"
"4.2,01-05-2016 11:56,1.28? S,81.22? W,5,Off Coast of Ecuador,M,""55.34km Puerto Lopez,Manabi"",01-05-2016 16:56,01-05-2016 17:03"
"3.5,01-05-2016 13:05,2.96? S,80.03? W,50.4,Near Coast of Ecuador,M,""34.18km Machala,El Oro"",01-05-2016 18:05,01-05-2016 18:10"
"3.7,01-05-2016 13:08,0.12? S,80.37? W,7.3,Near Coast of Ecuador,M,""14.95km Jama,Manabi"",01-05-2016 18:08,01-05-2016 18:12"
"3.6,01-05-2016 13:24,0.21? S,80.55? W,10,Near Coast of Ecuador,M,""31.88km Jama,Manabi"",01-05-2016 18:24,01-05-2016 18:27"
"3.7,01-05-2016 17:36,0.07? S,80.74? W,10,Near Coast of Ecuador,M,""55.00km Jama,Manabi"",01-05-2016 22:36,01-05-2016 22:41"
"4.2,01-05-2016 17:55,0.10? S,80.73? W,2.7,Near Coast of Ecuador,M,""53.12km Jama,Manabi"",01-05-2016 22:55,01-05-2016 22:59"
"3.8,01-05-2016 20:25,0.09? S,80.71? W,3.2,Near Coast of Ecuador,M,""51.21km Jama,Manabi"",02-05-2016 1:25,02-05-2016 1:28"
"4.1,01-05-2016 21:04,0.13? S,80.79? W,10,Near Coast of Ecuador,M,""59.11km Jama,Manabi"",02-05-2016 2:04,02-05-2016 2:09"
"3.1,02-05-2016 10:25,0.19? S,80.36? W,12,Near Coast of Ecuador,M,""10.82km Jama,Manabi"",02-05-2016 15:25,02-05-2016 15:32"
"3.6,02-05-2016 11:06,0.67? S,77.75? W,1.4,Ecuador - Napo,M,""36.98km Tena,Napo"",02-05-2016 16:06,02-05-2016 16:10"
"3.6,02-05-2016 13:03,1.52? S,80.91? W,5,Near Coast of Ecuador,M,""12.32km Puerto Lopez,Manabi"",02-05-2016 18:03,02-05-2016 18:07"
"3.6,02-05-2016 17:59,4.55? S,77.76? W,100,Northern Peru,M,""137.04km Yantzaza,Zamora Chinchipe"",02-05-2016 22:59,03-05-2016 3:20"
